season,episode,title,restaurant,rating,price,city,state
1,1,Classics,Mac & Ernie's Roadside Eatery,4.0,$$,Tarpley,Texas
1,1,Classics,Brint's Diner,3.5,$,Wichita,Kansas
1,1,Classics,The Mad Greek Cafe,3.0,$$,Baker,California
1,2,That's Italian,Pizza Palace,4.0,$,Knoxville,Tennessee
1,2,That's Italian,Hullabaloo Diner,3.5,$$,Wellborn,Texas
1,2,That's Italian,Four Kegs Sports Pub,4.0,$$,Las Vegas,Nevada
1,3,Blue Plate Special,Patrick's Roadhouse,3.5,$$,Santa Monica,California
1,3,Blue Plate Special,Frosted Mug,,,Alsip,Illinois
1,3,Blue Plate Special,The Penguin,,,Charlotte,North Carolina
1,4,Breakfast,Frank's Diner,4.0,$,Kenosha,Wisconsin
1,4,Breakfast,Gaffey Street Diner,,,San Pedro,California
1,4,Breakfast,The Coffee Cup,4.5,$$,Boulder City,Nevada
1,5,BBQ,Baby Blues BBQ,4.0,$$,Venice,California
1,5,BBQ,Louie Mueller BBQ,4.0,$$,Taylor,Texas
1,5,BBQ,Barbecue King Drive-In,,,Charlotte,North Carolina
1,6,Local Legends,Eveready Diner,3.5,$$,Hyde Park,New York
1,6,Local Legends,Leo's BBQ,4.0,$$,Oklahoma City,Oklahoma
1,6,Local Legends,A1 Diner,4.0,$$,Gardiner,Maine
1,7,Burgers,Triple XXX Restaurant,4.0,$$,West Lafayette,Indiana
1,7,Burgers,Hackney's,,,Glenview,Illinois
1,7,Burgers,Squeeze Inn,3.5,$$,Sacramento,California
1,8,House Specials,Red Arrow Diner,4.0,$,Manchester,New Hampshire
1,8,House Specials,Hank's Creekside Restaurant,4.0,$$,Santa Rosa,California
1,8,House Specials,Voula's Offshore Café,4.0,$$,Seattle,Washington
1,9,Retro,South Side Soda Shop and Diner,4.0,$$,Goshen,Indiana
1,9,Retro,Taylor's Automatic Refresher,5.0,,St. Helena,California
1,9,Retro,Byways Café,4.0,$$,Portland,Oregon
1,10,Worth the Trip,Big Star Diner,,,Bainbridge Island,Washington
1,10,Worth the Trip,Harold's Café,,,Gaffney,South Carolina
1,10,Worth the Trip,Mo Gridder's BBQ,,,Bronx,New York
1,11,Diners A-Plenty,Kelly's Diner,4.0,$,Somerville,Massachusetts
1,11,Diners A-Plenty,Bay Way Diner,,,Linden,New Jersey
1,11,Diners A-Plenty,Beacon Drive-In,3.0,$,Spartanburg,South Carolina
1,12,American Cookin' ,Rosie's Diner,,,Rockford,Michigan
1,12,American Cookin' ,Dari-ette Drive-In,3.5,$,St. Paul,Minnesota
1,12,American Cookin' ,The Russian River Pub,4.0,$$,Forestville,California
1,12,American Cookin' ,Al's Breakfast,4.0,$$,Minneapolis,Minnesota
2,1,Totally Fried,Falafel's Drive-In,4.0,$,San Jose,California
2,1,Totally Fried,Ramona Café,3.0,$$,Ramona,California
2,1,Totally Fried,Silk City Diner,4.0,$$,Philadelphia,Pennsylvania
2,2,Route 66,Emma Jean's Holland Burger Café,4.5,$,Victorville,California
2,2,Route 66,The Rock Café,4.0,$,Stroud,Oklahoma
2,2,Route 66,Café on the Route,4.0,,Baxter Springs,Kansas
2,3,Seaside Eats,Evelyn's Drive-In,3.0,$$,Tiverton,Rhode Island
2,3,Seaside Eats,Hodad's,4.0,$$,Ocean Beach,California
2,3,Seaside Eats,Keegan's Seafood Grille,4.0,$$,Indian Rocks Beach,Florida
2,4,Local Flavors,Clanton's Café,4.0,$,Vinita,Oklahoma
2,4,Local Flavors,Mike's Chili Parlor,3.5,$,Seattle,Washington
2,4,Local Flavors,Duarte's Tavern,3.5,$$,Pescadero,California
2,5,Viewer's Choice,Bobby's Hawaiian Style Restaurant,4.0,$$,Everett,Washington
2,5,Viewer's Choice,Ted Peters Famous Smoked Fish,4.0,$$,South Pasadena,Florida
2,5,Viewer's Choice,Psycho Suzie's Motor Lounge,3.5,$$,Minneapolis,Minnesota
2,6,Real Deal BBQ,Jay Bee's Bar-B-Que,3.5,$$,Gardena,California
2,6,Real Deal BBQ,Smoque,4.5,$$,Chicago,Illinois
2,6,Real Deal BBQ,BBQ Shack,,,Paola,Kansas
2,7,Talkin' Turkey,Mike's City Diner,4.0,$$,Boston,Massachusetts
2,7,Talkin' Turkey,Willie Bird's Restaurant,3.5,$$,Santa Rosa,California
2,7,Talkin' Turkey,Alpine Steakhouse,3.5,$$,Sarasota,Florida
2,8,One of a Kind,JT Farnham's Seafood & Grill,,,Essex,Massachusetts
2,8,One of a Kind,Joe's Gizzard City,3.5,$$,Potterville,Michigan
2,8,One of a Kind,Grubstake Diner,3.5,$$,San Francisco,California
2,8,One of a Kind,Los Tapatios,,,San Jose,California
2,9,Family Owned,El Indio,,,San Diego,California
2,9,Family Owned,Charlie's Diner,3.0,$$,Spencer,Massachusetts
2,9,Family Owned,Paradise Pup,4.5,$,Des Plaines,Illinois
2,10,Open 24/7,Studio Diner,3.5,$$,San Diego,California
2,10,Open 24/7,White Palace Grill,3.5,$$,Chicago,Illinois
2,10,Open 24/7,The Dining Car,3.5,$$,Philadelphia,Pennsylvania
2,11,Off the Hook Specials,Schooner or Later,3.5,$$,Long Beach,California
2,11,Off the Hook Specials,Grinders Pizza,4.0,$$,Kansas City,Missouri
2,11,Off the Hook Specials,The Fly Trap,4.0,$$,Ferndale,Michigan
2,11,Off the Hook Specials,Galewood Cook Shack,,,Chicago,Illinois
2,12,"Burgers, Rings and Fries",Joe's Cable Car,,,San Francisco,California
2,12,"Burgers, Rings and Fries",The Nook,,,St. Paul,Minnesota
2,12,"Burgers, Rings and Fries",Krazy Jim's Blimpy Burger,3.5,$,Ann Arbor,Michigan
2,13,The New Jersey Diner Tour,Mustache Bill's,4.0,$$,Barnegat Light,New Jersey
2,13,The New Jersey Diner Tour,Tick Tock Diner,2.5,$$,Clifton,New Jersey
2,13,The New Jersey Diner Tour,White Manna Hamburgers,,,Hackensack,New Jersey
2,13,The New Jersey Diner Tour,The Ritz Diner,2.5,$$,Livingston,New Jersey
2,13,The New Jersey Diner Tour,Hightstown Diner,3.0,$,Hightstown,New Jersey
2,13,The New Jersey Diner Tour,Skylark Diner,3.5,$$,Edison,New Jersey
2,13,The New Jersey Diner Tour,Jefferson Diner,3.0,$$,Lake Hopatcong,New Jersey
3,1,Big Breakfast,Brownstone Diner,,,Jersey City,New Jersey
3,1,Big Breakfast,39th Street Mama's,,,Kansas City,Missouri
3,1,Big Breakfast,Matt's Big Breakfast,4.0,$$,Phoenix,Arizona
3,2,Like Mama Made,Roberto's Mexican Food,,,Phoenix,Arizona
3,2,Like Mama Made,Smokey Valley Truck Stop,,,Olive Hill,Kentucky
3,2,Like Mama Made,Sweetie Pie's,,,St. Louis,Missouri
3,3,Regional Favorites,Charlie Parker's,4.0,$,Springfield,Illinois
3,3,Regional Favorites,Tecolote Café,4.0,$$,Santa Fe,New Mexico
3,3,Regional Favorites,Virginia Diner,3.0,$$,Wakefield,Virginia
3,4,Neighborhood Joints,Thee Pitts Again,4.0,$$,Silverton,Colorado
3,4,Neighborhood Joints,Iron Barley,,,St. Louis,Missouri
3,4,Neighborhood Joints,Daddypops,4.0,$,Hatboro,Pennsylvania
3,4,Neighborhood Joints,The Village Café,3.5,$$,Richmond,Virginia
3,5,A World of Flavors,Chino Bandido,4.0,$,Phoenix,Arizona
3,5,A World of Flavors,Marietta Diner,3.5,$$,Marietta,Georgia
3,5,A World of Flavors,YJ's Snack Bar,4.0,,Kansas City,Missouri
3,6,Something Different,Scully's Tavern,4.0,$$,Miami,Florida
3,6,Something Different,Dot's Back Inn,4.0,$$,Richmond,Virginia
3,6,Something Different,Hillbilly Hot Dogs,4.5,$$,Lesage,West Virginia
3,7,American Classics,11th Street Diner,3.5,$$,Miami Beach,Florida
3,7,American Classics,Bobo Drive-In,4.0,$,Topeka,Kansas
3,7,American Classics,Little Tea Shop,4.5,$,Memphis,Tennessee
3,8,Real Deal Fast Food,Panini Pete's,4.5,$,Fairhope,Alabama
3,8,Real Deal Fast Food,Joe's Farm Grill,4.0,$$,Gilbert,Arizona
3,8,Real Deal Fast Food,Maria's Taco Express,4.0,$,Austin,Texas
3,9,The Memphis BBQ Tour,Cozy Corner,,,Memphis,Tennessee
3,9,The Memphis BBQ Tour,Leonard's BBQ,,,Memphis,Tennessee
3,9,The Memphis BBQ Tour,Marlowe's Ribs,,,Memphis,Tennessee
3,9,The Memphis BBQ Tour,Tom's Bar-B-Q,4.0,$$,Memphis,Tennessee
3,10,Comfort Food,Grampa's Bakery & Restaurant,3.5,$$,Dania Beach,Florida
3,10,Comfort Food,Blue Moon Café,4.0,$$,Baltimore,Maryland
3,10,Comfort Food,Central City Cafe,4.0,$,Huntington,West Virginia
3,10,Comfort Food,Tip Top Café,3.0,$$,San Antonio,Texas
3,11,Where The Locals Go,Matthews Cafeteria,4.0,$,Tucker,Georgia
3,11,Where The Locals Go,The Rivershack Tavern,4.0,$$,Jefferson,Louisiana
3,11,Where The Locals Go,Monte Carlo Steak House,4.0,$$,Albuquerque,New Mexico
3,12,All Kinds of BBQ,The Joint,4.5,$$,New Orleans,Louisiana
3,12,All Kinds of BBQ,The Shed,,,Ocean Springs,Mississippi
3,12,All Kinds of BBQ,Texas Pride BBQ,3.5,$$,Adkins,Texas
3,13,In the Family,Benny's Seafood Restaurant,,,South Miami,Florida
3,13,In the Family,Chaps Pit Beef,4.5,$,Baltimore,Maryland
3,13,In the Family,Burger Bar,4.0,$,Roy,Utah
4,1,Brain Freeze,Doumar's,,,Norfolk,Virginia
4,1,Brain Freeze,Aunt Lena's Creamery,,,Chandler,Arizona
4,1,Brain Freeze,The Creole Creamery,4.5,$,New Orleans,Louisiana
4,2,Diners You Sent Me To,Town Talk Diner,4.5,$$,Minneapolis,Minnesota
4,2,Diners You Sent Me To,Blue Plate Diner,3.5,$$,Salt Lake City,Utah
4,2,Diners You Sent Me To,Broadway Diner,4.0,$$,Baltimore,Maryland
4,3,Bar Food,The Highlander,3.5,$$,Atlanta,Georgia
4,3,Bar Food,Gumbo Shack,,,Fairhope,Alabama
4,3,Bar Food,Starlite Lounge,3.5,$,Blawnox,Pennsylvania
4,4,Burgers and Dogs,The Wienery,4.0,$,Minneapolis,Minnesota
4,4,Burgers and Dogs,Casino El Camino,3.5,$$,Austin,Texas
4,4,Burgers and Dogs,G&A Restaurant,4.0,$,Baltimore,Maryland
4,5,Where the Locals Eat,Uncle Lou's,,,Memphis,Tennessee
4,5,Where the Locals Eat,Captain Chuck A Mucks,,,Rescue,Virginia
4,5,Where the Locals Eat,Dixie Quicks,,,Omaha,Nebraska
4,6,Totally Unexpected,Cabbage Town Market,,,Atlanta,Georgia
4,6,Totally Unexpected,The Cove,4.0,$$,San Antonio,Texas
4,6,Totally Unexpected,Bryant-Lake Bowl,3.5,$$,Minneapolis,Minnesota
4,7,A Taste of Everywhere,Jamaica Kitchen,4.0,$$,Kendale Lakes,Florida
4,7,A Taste of Everywhere,Crystal Restaurant,,,Pittsburgh,Pennsylvania
4,7,A Taste of Everywhere,Red Iguana,4.5,$$,Salt Lake City,Utah
4,8,Better Than Ever,Colonnade,,,Atlanta,Georgia
4,8,Better Than Ever,Manci's Antique Club,3.5,$$,Daphne,Alabama
4,8,Better Than Ever,Amato's,3.5,$,Omaha,Nebraska
4,9,Big Flavor,Darwell's Café,4.5,$$,Long Beach,Mississippi
4,9,Big Flavor,Brick Oven Pizza,3.0,$,Baltimore,Maryland
4,9,Big Flavor,Victor's 1959 Café,4.0,$$,Minneapolis,Minnesota
4,10,Cookin' It Old School,Nadine's Restaurant,,,Pittsburgh,Pennsylvania
4,10,Cookin' It Old School,Casamento's Restaurant,4.0,$$,New Orleans,Louisiana
4,10,Cookin' It Old School,Big Mama's Kitchen & Catering,4.0,$$,Omaha,Nebraska
4,11,Grabbin'a Sandwich,Moochie's Meatballs & More,4.0,$$,Salt Lake City,Utah
4,11,Grabbin'a Sandwich,Cemitas Puebla,3.5,$$,Chicago,Illinois
4,11,Grabbin'a Sandwich,Tioli's Crazee Burger,,,San Diego,California
4,12,Traditional Dishes,Donatelli's,4.0,$$,White Bear Lake,Minnesota
4,12,Traditional Dishes,Stoney Creek Inn,4.0,$$,Baltimore,Maryland
4,12,Traditional Dishes,Alcenia's,,,Memphis,Tennessee
4,13,Doin' Their Own Thing,Lone Star Taqueria,4.0,$,Salt Lake City,Utah
4,13,Doin' Their Own Thing,Modern Café,4.0,$,Minneapolis,Minnesota
4,13,Doin' Their Own Thing,Brewburger's,,,Omaha,Nebraska
5,1,What's For Breakfast,Surrey's Café,,,New Orleans,Louisiana
5,1,What's For Breakfast,Harry's Roadhouse,4.0,$$,Santa Fe,New Mexico
5,1,What's For Breakfast,Dor-Stop Restaurant,4.0,$,Pittsburgh,Pennsylvania
5,2,Real Deal Italian,LoBello's Spaghetti House,,,Coraopolis,Pennsylvania
5,2,Real Deal Italian,Di Pasquale's,,,Baltimore,Maryland
5,2,Real Deal Italian,Pizzeria Luigi,4.0,$$,San Diego,California
5,3,Not What You'd Expect,Sophia's Place,,,Albuquerque,New Mexico
5,3,Not What You'd Expect,Magnolia Café,3.5,$$,Austin,Texas
5,3,Not What You'd Expect,Glenn's Diner,4.0,$$,Chicago,Illinois
5,4,Places You Sent Me,Ruth's Diner,4.0,$$,Salt Lake City,Utah
5,4,Places You Sent Me,O'Rourke's Diner,4.0,$$,Middletown,Connecticut
5,4,Places You Sent Me,Parasol's,,,New Orleans,Louisiana
5,5,Long Time Legends,Tommy's Joynt,4.0,$$,San Francisco,California
5,5,Long Time Legends,Joe Tess Place,3.0,$$,Omaha,Nebraska
5,5,Long Time Legends,Big Jim's,,,Pittsburgh,Pennsylvania
5,6,Something from Everywhere,Valencia Luncheria,4.0,$$,Norwalk,Connecticut
5,6,Something from Everywhere,The Original Vito & Nick's Pizzeria,4.0,$$,Chicago,Illinois
5,6,Something from Everywhere,Emily's Lebanese Delicatessen,4.0,$$,Minneapolis,Minnesota
5,7,Neighborhood Favorites,Pat's BBQ,3.5,$$,Salt Lake City,Utah
5,7,Neighborhood Favorites,Blow Fly Inn,3.0,$$,Gulfport,Mississippi
5,7,Neighborhood Favorites,Tune-Up Café,4.5,$$,Santa Fe,New Mexico
5,8,Just Like Yesterday,Hob Nob Hill,4.0,$$,San Diego,California
5,8,Just Like Yesterday,The Silver Skillet,3.5,$$,Atlanta,Georgia
5,8,Just Like Yesterday,Tufano's Vernon Park Tap,4.0,$$,Chicago,Illinois
5,9,Return to Route 66,Standard Diner,4.0,$$,Albuquerque,New Mexico
5,9,Return to Route 66,Dell Rhea's Chicken Basket,3.5,$$,Willowbrook,Illinois
5,9,Return to Route 66,Salsa Brava,4.0,$$,Flagstaff,Arizona
5,10,BBQ & More,Green Mesquite,3.5,$$,Austin,Texas
5,10,BBQ & More,Gorilla BBQ,4.0,$$,Pacifica,California
5,10,BBQ & More,Wilson's Holy Smoke BBQ,,,Fairfield,Connecticut
5,11,Regional Classics,Cecilia's Café,4.0,$,Albuquerque,New Mexico
5,11,Regional Classics,Joey K's Restaurant & Bar,4.0,$$,New Orleans,Louisiana
5,11,Regional Classics,Kelly O's Diner,4.0,$$,Pittsburgh,Pennsylvania
5,12,All Kinds of Fast Food,Super Duper Weenie,4.0,$,Fairfield,Connecticut
5,12,All Kinds of Fast Food,California Tacos,3.5,$,Omaha,Nebraska
5,12,All Kinds of Fast Food,Bert's Burger Bowl,,,Santa Fe,New Mexico
5,13,Family Favorites,Giusti's,4.0,$$,Walnut Grove,California
5,13,Family Favorites,Haus Murphy's,4.0,$$,Glendale,Arizona
5,13,Family Favorites,Louie's,3.5,$$,Dallas,Texas
6,1,Funky Joints,Bizzaro Café,,,Seattle,Washington
6,1,Funky Joints,Chef Point Café,,,Watauga,Texas
6,1,Funky Joints,Jamie's Bar & Grill,4.0,$$,Sacramento,California
6,2,Their Own Way,Bluewater Seafood Market & Grill,4.0,$$,San Diego,California
6,2,Their Own Way,Brandy's Restaurant & Bakery,4.0,$$,Flagstaff,Arizona
6,2,Their Own Way,Kuma's Corner,4.0,$$,Chicago,Illinois
6,3,A Little Bit of Everywhere,Bar Gernika,4.5,$$,Boise,Idaho
6,3,A Little Bit of Everywhere,Café Rolle,4.5,$$,Sacramento,California
6,3,A Little Bit of Everywhere,Havana Hideout,,,Lake Worth,Florida
6,4,"A Burger, A Bowl and a Slice",La Piazza Al Forno,4.0,$$,Glendale,Arizona
6,4,"A Burger, A Bowl and a Slice",Slim's Last Chance Chili Shack & Watering Hole,,,Seattle,Washington
6,4,"A Burger, A Bowl and a Slice",Twisted Root Beer Co.,,,Dallas,Texas
6,5,"Biscuits, Bagels and BLTs","Arleta Library, Bakery & Café",4.0,$$,Portland,Oregon
6,5,"Biscuits, Bagels and BLTs",Bubba's Diner,,,San Anselmo,California
6,5,"Biscuits, Bagels and BLTs",Flakowitz of Boynton Bakery & Deli Restaurant,,,Boynton Beach,Florida
6,6,Who'Da Thunk It,Backroad Pizza,3.5,$$,Santa Fe,New Mexico
6,6,Who'Da Thunk It,Jamaica Gates Caribbean Cuisine,,,Arlington,Texas
6,6,Who'Da Thunk It,Chef Lou's Westside Drive-In,3.5,$,Boise,Idaho
6,7,Go-To Joints,Black Duck Café,3.0,$,Westport,Connecticut
6,7,Go-To Joints,Otto's Sausage Kitchen & Meat Market,4.5,$,Portland,Oregon
6,7,Go-To Joints,Sol Food Puerto Rican Cuisine,,,San Rafael,California
6,8,Homestyle,Giuseppe's Restaurant,,,Phoenix,Arizona
6,8,Homestyle,Southern Kitchen Restaurant,4.0,$$,Tacoma,Washington
6,8,Homestyle,Zia Diner & Angel Food Catering,,,Santa Fe,New Mexico
6,9,All Kinds of Classics,Blue Marlin Fish House Restaurant,,,North Miami Beach,Florida
6,9,All Kinds of Classics,Fred's Texas Café,4.0,$$,Fort Worth,Texas
6,9,All Kinds of Classics,Pine State Biscuits,4.5,$,Portland,Oregon
6,10,All Over The Map,Georgia Greek Restaurant & Deli,3.5,$$,Seattle,Washington
6,10,All Over The Map,Los Tacquitos Grill,,,Phoenix,Arizona
6,10,All Over The Map,Rocco's Café,4.0,$$,San Francisco,California
6,11,Old Time Favorites,Blueplate Lunch Counter & Soda Fountain,,,Portland,Oregon
6,11,Old Time Favorites,Don's Hilltop Kodiak Grill,,,Boise,Idaho
6,11,Old Time Favorites,La Camoronera Restaurant & Fish Market,4.0,$$,Miami,Florida
6,12,Comfort Cookin',Dottie's True Blue Café,4.0,$$,San Francisco,California
6,12,Comfort Cookin',Over Easy,,,Phoenix,Arizona
6,12,Comfort Cookin',Comet Café,4.0,$$,Milwaukee,Wisconsin
6,13,Mama's Cookin',Polka Restaurant & Catering,,,Los Angeles,California
6,13,Mama's Cookin',Avila's Café,,,Dallas,Texas
6,13,Mama's Cookin',Mama E's,,,Oklahoma City,Oklahoma
7,1,Upper Crust,Bunk Sandwiches,,,Portland,Oregon
7,1,Upper Crust,Sonny's Famous Steak Hogies,4.0,$,Hollywood,Florida
7,1,Upper Crust,The Depot American Diner,,,Chicago,Illinois
7,2,"Burgers, Tacos & Dogs",Lankford Grocery,4.0,$,Houston,Texas
7,2,"Burgers, Tacos & Dogs",Fab Hot Dogs,4.0,$,Reseda,California
7,2,"Burgers, Tacos & Dogs",Cempazuchi,,,Milwaukee,Wisconsin
7,3,Name That Cook,Rick's Press Room & Grill,,,Meridian,Idaho
7,3,Name That Cook,Nic's Grill,4.5,$$,Oklahoma City,Oklahoma
7,3,Name That Cook,Pam's Kitchen,4.0,$$,Seattle,Washington
7,4,Global Grub,Prince Lebanese Grill,4.5,$$,Arlington,Texas
7,4,Global Grub,Tre Kronor,4.0,$$,Chicago,Illinois
7,4,Global Grub,La Texanita,,,Santa Rosa,California
7,5,Only At This Joint,Podnah's Pit Barbeque,4.0,$$,Portland,Oregon
7,5,Only At This Joint,Donnie Mac's Trailer Park Cuisine,,,Boise,Idaho
7,5,Only At This Joint,Whale's Rib,4.0,$$,Deerfield Beach,Florida
7,6,You Picked ‘Em,Eischen's Bar & Grill,4.0,$$,Okarche,Oklahoma
7,6,You Picked ‘Em,Mom's Tamales,5.0,,Los Angeles,California
7,6,You Picked ‘Em,Kenny & Ziggy's,,,Houston,Texas
7,7,You Can Say That Again,Tap Tap Haitian Restaurant,,,Miami Beach,Florida
7,7,You Can Say That Again,Pok Pok,4.0,$$,Portland,Oregon
7,7,You Can Say That Again,Niko Niko's,,,Houston,Texas
7,8,"Barbequed, Baked & Brined",Honky Tonk BBQ,3.5,$$,Chicago,Illinois
7,8,"Barbequed, Baked & Brined",Pizzalchik,,,Boise,Idaho
7,8,"Barbequed, Baked & Brined",Lucky's Café,4.0,$$,Cleveland,Ohio
7,9,Blast from the Past,Cattlemen's Steakhouse,,,Oklahoma City,Oklahoma
7,9,Blast from the Past,Sam LaGrassa's,4.5,$$,Boston,Massachusetts
7,9,Blast from the Past,Nickel Diner,4.0,$$,Los Angeles,California
7,10,Dives Worth a Drive,Parkview Nightclub,4.0,$$,Cleveland,Ohio
7,10,Dives Worth a Drive,The Shanty,4.0,$$,Wadsworth,Illinois
7,10,Dives Worth a Drive,Grover's Bar & Grill,4.0,$$,East Amherst,New York
7,11,Family Style,Louis Family Restaurant,3.5,$,Providence,Rhode Island
7,11,Family Style,Café Pita+,5.0,$$,Houston,Texas
7,11,Family Style,Mambos Café,3.5,$$,Glendale,California
7,12,Diners Times Three,The Little Depot Diner,4.5,$,Peabody,Massachusetts
7,12,Diners Times Three,Santa Cruz Diner,2.5,$$,Santa Cruz,California
7,12,Diners Times Three,The Diner,4.5,$,Norman,Oklahoma
7,13,Legacies,Lake Effect Diner,3.5,$$,Buffalo,New York
7,13,Legacies,Geraci's Restaurant,3.5,$$,Cleveland,Ohio
7,13,Legacies,Morin's Hometown Bar & Grill,3.5,$$,Attleboro,Massachusetts
8,1,"Burgers, Steaks & Chops",Mr. Bartley's Gourmet Burgers,3.5,$$,Cambridge,Massachusetts
8,1,"Burgers, Steaks & Chops",T-Bone Tom's Steakhouse,,,Kemah,Texas
8,1,"Burgers, Steaks & Chops",Tee Off Bar & Grill,,,San Francisco,California
8,2,"Pizza, Pork & Paprikash",Pizza Junction,,,North Tonawanda,New York
8,2,"Pizza, Pork & Paprikash",Sterle's Slovenian Country House,,,Cleveland,Ohio
8,2,"Pizza, Pork & Paprikash",Q Restaurant,3.5,$$,San Francisco,California
8,3,"Stacked, Stuffed & Loaded",Bob's Taco Station,3.5,$$,Rosenberg,Texas
8,3,"Stacked, Stuffed & Loaded",Crazy Burger Café & Juice Bar,4.0,$$,Narragansett,Rhode Island
8,3,"Stacked, Stuffed & Loaded",The Oinkster,4.0,$$,Eagle Rock,California
8,4,Triple D Goes Tailgatin',Rudy's Can't Fail Cafe,3.5,$$,Emeryville,California
8,4,Triple D Goes Tailgatin',900 Grayson Restaurant,,,Berkeley,California
8,4,Triple D Goes Tailgatin',Rick & Ann's Restaurant,,,Berkeley,California
8,5,Home And Away,Taste of Peru,4.0,$$,Chicago,Illinois
8,5,Home And Away,Ingrid's Kitchen,4.0,$$,Oklahoma City,Oklahoma
8,5,Home And Away,Blackthorn Restaurant & Pub,4.0,$$,Buffalo,New York
8,6,By Request,South 21 Drive-In,4.0,$,Charlotte,North Carolina
8,6,By Request,Red Lion Pub & Restaurant,,,Houston,Texas
8,6,By Request,Melt Bar & Grilled,4.0,$$,Lakewood,Ohio
8,7,And The Kicker Is...,Pawley's Front Porch,3.5,$$,Columbia,South Carolina
8,7,And The Kicker Is...,Sophia Restaurant,4.5,$,Buffalo,New York
8,7,And The Kicker Is...,Bette's Oceanview Diner,4.0,$$,Berkeley,California
8,8,Comfort Food Classics,The Liberty Elm Diner,,,Providence,Rhode Island
8,8,Comfort Food Classics,Naglee Park Garage,3.5,$$,San Jose,California
8,8,Comfort Food Classics,Dish,4.0,$$,Charlotte,North Carolina
8,9,Twists And Traditions,Earl's Drive-In,,,Chaffee,New York
8,9,Twists And Traditions,Aldo's Harbor Restaurant,3.5,$$,Santa Cruz,California
8,9,Twists And Traditions,Momocho,4.0,$$,Cleveland,Ohio
8,10,Fresh And Funky,Dish Café & Catering,4.5,$$,Reno,Nevada
8,10,Fresh And Funky,Landmark Restaurant,3.5,$,Charlotte,North Carolina
8,10,Fresh And Funky,Pier 23 Café,,,San Francisco,California
8,11,Triple D Goes Hawaiian,Highway Inn & Ho'okipa Catering,,,Waipahu,Hawaii
8,11,Triple D Goes Hawaiian,Hank's Haute Dogs,4.0,$,Honolulu,Hawaii
8,11,Triple D Goes Hawaiian,Nico's Pier 38,4.0,$$,Honolulu,Hawaii
8,11,Triple D Goes Hawaiian,Germaine's Luau,3.5,$$$$,Kapolei,Hawaii
9,1,Surf ‘n Turf,North End Café,4.0,$$,Manhattan Beach,California
9,1,Surf ‘n Turf,Gold ‘N Silver Inn,3.5,$$,Reno,Nevada
9,1,Surf ‘n Turf,Singleton's Seafood Shack,3.5,$$,Atlantic Beach,Florida
9,2,Homegrown & Homemade,The Farmer's Shed,,,Lexington,South Carolina
9,2,Homegrown & Homemade,Poke Stop at Mililana Mauka Llc.,,,Mililani,Hawaii
9,2,Homegrown & Homemade,Mulberry Café,,,Lackawanna,New York
9,3,Globetrottin',Louis' Basque Corner,4.0,$$,Reno,Nevada
9,3,Globetrottin',13 Gypsies,4.0,$$,Jacksonville,Florida
9,3,Globetrottin',Gloria's Café,4.0,$$,Los Angeles,California
9,4,Bringin' It Home,Café Citti,4.0,$$,Kenwood,California
9,4,Bringin' It Home,Cabo Fish Taco,4.0,$$,Charlotte,North Carolina
9,4,Bringin' It Home,Murphy's Bar & Grill,4.0,$$,Honolulu,Hawaii
9,5,Porkapalooza,At Last Café,,,Long Beach,California
9,5,Porkapalooza,Virgil's Café,,,Bellevue,Kentucky
